quality		bps		crf
1		200		34
2		200		34
3		200		33
4		200		33
5		200		33
6		200		32
7		200		32
8		200		32
9		200		31
10		200		31
11		200		31
12		200		30
13		200		30
14		200		29
15		200		29
16		200		29
17		200		28
18		200		28
19		200		28
20		200		27
21		200		27
22		200		27
23		200		26
24		200		26
25		200		26
26		400		29
27		400		29
28		400		28
29		400		28
30		400		28
31		400		27
32		400		27
33		400		27
34		400		26
35		400		26
36		400		26
37		400		25
38		400		25
39		400		24
40		400		24
41		400		24
42		400		23
43		400		23
44		400		23
45		400		22
46		400		22
47		400		22
48		400		21
49		400		21
50		400		21
51		800		26
52		800		26
53		800		25
54		800		25
55		800		25
56		800		24
57		800		24
58		800		24
59		800		23
60		800		23
61		800		23
62		800		22
63		800		22
64		800		21
65		800		21
66		800		21
67		800		20
68		800		20
69		800		20
70		800		19
71		800		19
72		800		19
73		800		18
74		800		18
75		800		18
76		1600	22
77		1600	22
78		1600	21
79		1600	21
80		1600	21
81		1600	20
82		1600	20
83		1600	20
84		1600	19
85		1600	19
86		1600	19
87		1600	18
88		1600	18
89		1600	17
90		1600	17
91		1600	17
92		1600	16
93		1600	16
94		1600	16
95		1600	15
96		1600	15
97		1600	15
98		1600	14
99		1600	14
100		1600	14
